Municipality,County,Year,Total_Personal_Vehicles,# of EVs,% of EVs
Pine Valley,Camden,2020,13,1,16.67%
Tavistock,Camden,2020,6,1,16.67%
Walpack,Sussex,2020,8,1,12.50%
Deal,Monmouth,2020,363,37,10.19%
Cape May Point,Cape May,2020,135,7,5.19%
Alpine,Bergen,2020,1095,56,5.11%
Far Hills,Somerset,2020,727,36,4.95%
Avalon,Cape May,2020,1311,54,4.12%
Loch Arbour,Monmouth,2020,148,6,4.05%
Allenhurst,Monmouth,2020,327,13,3.98%
Stone Harbor,Cape May,2020,749,24,3.20%
Millburn,Essex,2020,13020,414,3.18%
Sea Bright,Monmouth,2020,1040,33,3.17%
Pennington,Mercer,2020,1734,55,3.17%
Mountain Lakes,Morris,2020,2977,90,3.02%
Saddle River,Bergen,2020,2750,83,3.02%
Demarest,Bergen,2020,3314,98,2.96%
Princeton,Mercer,2020,15263,450,2.95%
Tenafly,Bergen,2020,8661,241,2.78%
West Windsor,Mercer,2020,18347,508,2.77%
Monmouth Beach,Monmouth,2020,2539,69,2.72%
Chester,Morris,2020,1040,27,2.60%
Watchung,Somerset,2020,4082,105,2.57%
Hopewell,Mercer,2020,1330,34,2.56%
Andover,Sussex,2020,551,14,2.54%
Englewood Cliffs,Bergen,2020,3861,98,2.54%
Montgomery,Somerset,2020,15454,383,2.48%
Essex Fells,Essex,2020,1496,37,2.47%
Rocky Hill,Somerset,2020,434,10,2.30%
Warren,Somerset,2020,11357,258,2.27%
Sea Isle City,Cape May,2020,1741,39,2.24%
South Orange Village,Essex,2020,7968,171,2.15%
Upper Saddle River,Bergen,2020,5797,123,2.12%
Teterboro,Bergen,2020,49,1,2.04%
Wildwood,Cape May,2020,2382,48,2.02%
Closter,Bergen,2020,5274,105,1.99%
Glen Ridge,Essex,2020,4295,83,1.93%
Sea Girt,Monmouth,2020,1350,26,1.93%
West Wildwood,Cape May,2020,313,6,1.92%
Livingston,Essex,2020,20000,382,1.91%
Ridgewood,Bergen,2020,15805,291,1.84%
Montclair,Essex,2020,21667,395,1.82%
Franklin Lakes,Bergen,2020,8322,151,1.81%
Ho-Ho-Kus,Bergen,2020,2826,50,1.77%
North Wildwood,Cape May,2020,2724,47,1.73%
South Brunswick,Middlesex,2020,29797,512,1.72%
Cresskill,Bergen,2020,5531,95,1.72%
Peapack and Gladstone,Somerset,2020,1751,30,1.71%
Moorestown,Burlington,2020,14601,250,1.71%
Barnegat Light,Ocean,2020,415,7,1.69%
Plainsboro,Middlesex,2020,14771,249,1.69%
Farmingdale,Monmouth,2020,900,15,1.67%
Holmdel,Monmouth,2020,12341,202,1.64%
Chatham,Morris,2020,5439,89,1.64%
Cape May,Cape May,2020,1971,32,1.62%
Hopewell,Mercer,2020,12631,205,1.62%
Summit,Union,2020,13912,224,1.61%
Rumson,Monmouth,2020,4605,74,1.61%
Mendham,Morris,2020,3428,55,1.60%
Bernards,Somerset,2020,18377,294,1.60%
Bernardsville,Somerset,2020,5260,84,1.60%
Maplewood,Essex,2020,13259,208,1.57%
Wrightstown,Burlington,2020,384,6,1.56%
Chatham,Morris,2020,6737,104,1.54%
Colts Neck,Monmouth,2020,7212,111,1.54%
Cranbury,Middlesex,2020,2797,43,1.54%
Woodcliff Lake,Bergen,2020,4042,62,1.53%
Monroe,Middlesex,2020,32072,491,1.53%
Flemington,Hunterdon,2020,2617,40,1.53%
Marlboro,Monmouth,2020,27464,414,1.51%
Berkeley Heights,Union,2020,9120,134,1.47%
Madison,Morris,2020,10100,147,1.46%
Glen Rock,Bergen,2020,6767,98,1.45%
Westwood,Bergen,2020,7258,105,1.45%
Chesterfield,Burlington,2020,3766,53,1.41%
Norwood,Bergen,2020,3698,52,1.41%
Harding,Morris,2020,3210,45,1.40%
Allendale,Bergen,2020,4321,60,1.39%
Paramus,Bergen,2020,16692,231,1.38%
Westfield,Union,2020,19514,268,1.37%
Haddonfield,Camden,2020,7545,103,1.37%
Edgewater,Bergen,2020,8018,108,1.35%
Fair Haven,Monmouth,2020,3680,49,1.33%
Allentown,Monmouth,2020,1361,18,1.32%
Morristown,Morris,2020,12924,170,1.32%
Haworth,Bergen,2020,2289,30,1.31%
Clinton,Hunterdon,2020,1993,26,1.30%
Robbinsville,Mercer,2020,9874,128,1.30%
Spring Lake Heights,Monmouth,2020,3240,42,1.30%
Roseland,Essex,2020,4219,54,1.28%
Longport,Atlantic,2020,706,9,1.27%
Montville,Morris,2020,16031,201,1.25%
Lambertville,Hunterdon,2020,2880,36,1.25%
Voorhees,Camden,2020,19384,241,1.24%
Long Hill,Morris,2020,6223,77,1.24%
Englishtown,Monmouth,2020,1223,15,1.23%
Hillsborough,Somerset,2020,27697,337,1.22%
Hightstown,Mercer,2020,3211,39,1.21%
Mountainside,Union,2020,4870,59,1.21%
Lakewood,Ocean,2020,34782,421,1.21%
Mendham,Morris,2020,4408,53,1.20%
Margate City,Atlantic,2020,4699,56,1.19%
Jamesburg,Middlesex,2020,3806,45,1.18%
Wood-Ridge,Bergen,2020,6009,71,1.18%
Edison,Middlesex,2020,59239,690,1.16%
Rockleigh,Bergen,2020,174,2,1.15%
East Brunswick,Middlesex,2020,32528,373,1.15%
New Providence,Union,2020,9004,103,1.14%
West Cape May,Cape May,2020,789,9,1.14%
Tewksbury,Hunterdon,2020,4419,50,1.13%
Lebanon,Hunterdon,2020,1511,17,1.13%
Wildwood Crest,Cape May,2020,2610,29,1.11%
Ocean City,Cape May,2020,8012,89,1.11%
Bay Head,Ocean,2020,811,9,1.11%
Bridgewater,Somerset,2020,30647,340,1.11%
Dunellen,Middlesex,2020,4071,45,1.11%
East Amwell,Hunterdon,2020,3273,36,1.10%
Lawrence,Mercer,2020,21566,237,1.10%
Weehawken,Hudson,2020,7680,84,1.09%
Florham Park,Morris,2020,7275,79,1.09%
Morris Plains,Morris,2020,4540,49,1.08%
Spring Lake,Monmouth,2020,2412,26,1.08%
Cherry Hill,Camden,2020,49528,531,1.07%
West Long Branch,Monmouth,2020,5048,54,1.07%
Fort Lee,Bergen,2020,21713,231,1.06%
Harrington Park,Bergen,2020,3575,38,1.06%
Belmar,Monmouth,2020,3869,41,1.06%
Denville,Morris,2020,12134,128,1.05%
Mantoloking,Ocean,2020,381,4,1.05%
Chester,Morris,2020,5986,62,1.04%
Wyckoff,Bergen,2020,11582,119,1.03%
Hoboken,Hudson,2020,20009,205,1.02%
Morris,Morris,2020,16169,165,1.02%
Swedesboro,Gloucester,2020,1570,16,1.02%
River Vale,Bergen,2020,6916,70,1.01%
Old Tappan,Bergen,2020,4064,41,1.01%
Caldwell,Essex,2020,5256,53,1.01%
Medford,Burlington,2020,17470,174,1.00%
