Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Newark,Essex,NJTPA,2019,134129.04,32100.27,9673.2,40088.74,1871.98,6175.42,761964.05,112929.02,10014.55,9437.45,19263.45,48645.63,7734.79,1194027.6
Newark,Essex,NJTPA,2017,107071.09,26600.68,9053,33417.89,464.72,5714.96,667288.96,101114.68,5479.42,7067.09,15947.47,38696.45,7052.34,1024968.76
Jersey City,Hudson,NJTPA,2017,60845.77,15116.49,21132.42,31303.97,57.11,5976.81,579880.05,94718.44,2108.34,12820.33,6310.75,15319.99,16367.57,861958.05
Edison,Middlesex,NJTPA,2019,69999.85,16752.63,5048.29,20921.68,976.96,3222.86,397657.11,58935.89,5226.43,4925.26,10053.29,25387.39,4036.67,623144.31
Elizabeth,Union,NJTPA,2019,65974.66,15789.31,4758,19718.63,920.78,3037.53,374790.72,55546.91,4925.9,4642.04,9475.2,23927.55,3804.55,587311.78
Jersey City,Hudson,NJTPA,2019,64425.94,15418.66,4646.31,19255.75,899.17,2966.23,365992.72,54242.98,4810.27,4533.07,9252.78,23365.86,3715.24,573524.97
Elizabeth,Union,NJTPA,2017,86768.77,21556.78,3248.14,18904.18,414.35,2900.68,314583.93,57199.61,2632.92,3578.23,10082.79,24469.04,2515.98,548855.4
Edison,Middlesex,NJTPA,2017,64765.67,16090.35,2685.57,17457.46,439.89,1911.36,348136.04,52822.17,2726.5,3164.26,10636.51,25826.42,2088.6,548750.78
Woodbridge,Middlesex,NJTPA,2019,58738.27,14057.47,4236.12,17555.8,819.79,2704.36,333682.04,49454.28,4385.61,4132.88,8435.92,21303.07,3387.25,522892.87
Woodbridge,Middlesex,NJTPA,2017,51620.98,12824.69,2416.14,12766.05,378.76,2068,264024.02,38627.07,2347.6,2846.81,9158.39,22237.42,1879.06,423195
Hamilton,Mercer,DVRPC,2019,16151.52,6492.64,5569.36,17710.31,1037.22,2718.41,145277.22,154121.88,5737.44,4713.91,11968.78,19120.95,2596.91,421794.69
Paterson,Passaic,NJTPA,2019,47017.4,11252.38,3390.83,14052.65,656.2,2164.72,267097.79,39585.98,3510.48,3308.19,6752.58,17052.17,2711.34,418552.72
Parsippany-Troy Hills,Morris,NJTPA,2019,46212.73,11059.81,3332.8,13812.15,644.97,2127.68,262526.55,38908.48,3450.4,3251.57,6637.02,16760.33,2664.94,411389.42
Toms River,Ocean,NJTPA,2019,41877.01,10022.17,3020.11,12516.28,584.46,1928.06,237896.1,35258.06,3126.68,2946.51,6014.33,15187.86,2414.91,372792.53
Cherry Hill,Camden,DVRPC,2019,14172.65,5697.17,4887.01,15540.46,910.14,2385.36,127478,135239.02,5034.49,4136.37,10502.37,16778.27,2278.74,370116.83
Paramus,Bergen,NJTPA,2019,40029.7,9580.06,2886.89,11964.15,558.68,1843,227401.83,33702.73,2988.76,2816.53,5749.02,14517.88,2308.38,356347.6
Piscataway,Middlesex,NJTPA,2019,39329.9,9412.58,2836.42,11754.99,548.91,1810.78,223426.38,33113.53,2936.51,2767.29,5648.51,14264.08,2268.03,350117.92
Clifton,Passaic,NJTPA,2019,38983.45,9329.67,2811.43,11651.45,544.08,1794.83,221458.26,32821.84,2910.64,2742.91,5598.76,14138.43,2248.05,347033.79
Hamilton,Mercer,DVRPC,2015,8626,26687,1997.35,27457.57,902,1387.77,133960.09,147794.39,2339.02,2241.58,8572.98,16981.16,1298.28,333463.81
Trenton,Mercer,DVRPC,2019,12563.28,5050.23,4332.07,13775.77,806.79,2114.49,113002.27,119881.99,4462.8,3666.66,9309.78,14873.02,2019.98,328088.31
Parsippany-Troy Hills,Morris,NJTPA,2017,32304.37,8025.68,1529.64,11350.96,363.25,566.67,212176.84,34345.35,1424.62,2513.5,4998.45,12132.88,1185.13,322917.33
Franklin,Somerset,NJTPA,2019,36180.98,8658.97,2609.32,10813.84,504.96,1665.8,205537.91,30462.32,2701.4,2545.73,5196.27,13122.04,2086.44,322085.97
Cherry Hill,Camden,DVRPC,2015,8074.14,24979.66,1869.57,25700.93,844.3,1298.99,125389.8,138339.03,2189.38,2098.17,8024.51,15894.76,1215.22,312129.97
Wayne,Passaic,NJTPA,2019,34630.96,8288.01,2497.54,10350.57,483.33,1594.44,196732.53,29157.3,2585.67,2436.67,4973.66,12559.88,1997.06,308287.61
Hackensack,Bergen,NJTPA,2019,34162.97,8176.01,2463.79,10210.69,476.8,1572.89,194073.96,28763.28,2550.73,2403.74,4906.44,12390.15,1970.07,304121.52
Trenton,Mercer,DVRPC,2015,7745.36,23962.48,1793.44,24654.39,809.92,1246.09,120283.9,132705.83,2100.23,2012.74,7697.75,15247.53,1165.74,299419.97
Union,Union,NJTPA,2019,33475.13,8011.4,2414.18,10005.11,467.2,1541.23,190166.46,28184.15,2499.37,2355.34,4807.66,12140.69,1930.4,297998.31
Paterson,Passaic,NJTPA,2017,13804.37,3429.55,2449.41,12324.73,170.06,1162.92,203537.9,37291.73,983.38,2849.36,3259.43,7910.14,1907.5,291080.46
Hamilton,Atlantic,SJTPO,2020,10842.41,5125.64,4176.09,14965.41,92.63,1540,101720.07,96333.91,893.36,1549.27,6840.39,13393.18,1924.34,279768.6
Lakewood,Ocean,NJTPA,2019,31330.42,7498.11,2259.51,9364.09,437.27,1442.48,177982.72,26378.43,2339.24,2204.44,4499.64,11362.85,1806.72,278905.91
Piscataway,Middlesex,NJTPA,2017,15736.59,3909.59,1490.19,9225.75,164.08,879.26,200927.83,27914.96,1016.58,1756.27,3965.84,9629.42,1158.94,277775.3
Bridgewater,Somerset,NJTPA,2019,31178.21,7461.69,2248.53,9318.6,435.14,1435.47,177118.07,26250.28,2327.87,2193.73,4477.78,11307.65,1797.95,277550.98
Toms River,Ocean,NJTPA,2017,5324.39,1322.79,1694.41,12818.7,641.49,2124.81,192296.42,38786.36,1558.33,2153.75,2300.68,5585.78,1313,267920.91
Middletown,Monmouth,NJTPA,2019,28968.66,6932.89,2089.18,8658.21,404.3,1333.74,164565.96,24389.96,2162.9,2038.26,4160.44,10506.29,1670.53,257881.32
Paramus,Bergen,NJTPA,2017,12174,3024.5,1176.27,12524.6,42.09,1341.44,181695.24,37896.49,387.87,868.89,1533.87,3723.48,913.27,257302.01
