Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Jersey City ,Hudson,NJTPA,2017,30466729,7569134,15211589,60022744,47991,19691695,1522663383,181614802,1770724,9228355,5300273,12866943,11781723,1878236085
Newark ,Essex,NJTPA,2019,157119372,39206344,9285034,91242557,3348843,17821701,1726980607,297989301,5288749,11753328,20747523,50795152,7191128,2438769639
Vineland ,Cumberland,SJTPO,2020,6300284,5737971,8766848,26680683,230043,5246054,172282487,208213365,437069,5052250,6248987,13577057,2050552,460823403
Newark ,Essex,NJTPA,2017,46363269,11518481,6942410,51650492,168407,16828804,1491660841,156282266,3923717,4885745,11093379,26914616,5411518,1833643945
Hamilton,Mercer,DVRPC,2019,17690290,7414970,4998494,37795360,1733033,7355214,309838549,381424747,2849265,5489957,12110395,18757708,2257654,809715635
Elizabeth ,Union,NJTPA,2019,83858369,20925367,4955644,48698341,1787356,9511869,921730905,159044026,2822732,6273032,11073449,27110588,3838078,1301629756
Cherry Hill,Camden,DVRPC,2019,15522893,6506495,4386084,33164711,1520704,6454061,271877444,334692973,2500176,4817333,10626641,16459532,1981048,710510095
Edison,Middlesex,NJTPA,2019,72152231,18004307,4263863,41900333,1537852,8184068,793062657,136842410,2428697,5397356,9527659,23326107,3302301,1119929841
Vineland ,Cumberland,SJTPO,2015,13794164,2254409,3913064,20910706,932002,4584884,193529530,233391252,1474673,5922478,11866459,9938082,1762941,504274644
Trenton ,Mercer,DVRPC,2019,13760195,5767652,3888023,29398701,1348020,5721171,241004471,296686999,2216269,4270302,9419936,14590474,1756091,629828305
Jersey City ,Hudson,NJTPA,2019,64144279,16006068,3790628,37249944,1367170,7275745,705043095,121654698,2159145,4798322,8470213,20737215,2935787,995632309
Hamilton,Atlantic,SJTPO,2020,11875381,5853773,3748033,31937499,154772,4166778,216942466,238409611,443650,1804323,6921331,13138755,1672946,537069377
Woodbridge,Middlesex,NJTPA,2019,58100595,14497970,3433477,33740252,1238356,6590224,638613832,110192372,1955708,4346219,7672150,18783352,2659180,901823687
Secaucus,Hudson,NJTPA,2017,10112621,2512375,3238922,17900116,16673,4690784,437534795,54161563,589289,1966089,1772270,4302361,2508634,541306492
North Bergen,Hudson,NJTPA,2017,6798933,1689121,3216737,12969542,15433,4112592,339375672,39242780,537483,1954128,1619108,3930559,2491477,417953565
Egg Harbor,Atlantic,SJTPO,2020,9887299,4873781,3120567,26590776,128862,3469209,180623676,198496962,369377,1502257,5762617,10939169,1392875,447157475
Millville ,Cumberland,SJTPO,2020,2162505,1969497,3009126,9157857,78960,1800652,59134111,71466998,150019,1734130,2144897,4660179,703830,158172677
Hoboken ,Hudson,NJTPA,2017,2798352,695226,2995003,9645718,4879,3914670,232781836,29185664,180205,1816969,539373,1309421,2319696,288187012
Mount Laurel,Burlington,DVRPC,2019,10469907,4388512,2958333,22368989,1025687,4353145,183376346,225744268,1686323,3249203,7167475,11101653,1336181,479226020
Gloucester,Camden,DVRPC,2019,10428065,4370974,2946510,22279595,1021588,4335749,182643510,224842115,1679583,3236218,7138831,11057286,1330841,477310865
Parsippany-Troy Hills,Morris,NJTPA,2019,49762119,12417251,2940712,28897920,1060628,5644407,546961301,94377791,1675028,3722459,6571058,16087605,2277541,772395820
Paterson ,Passaic,NJTPA,2019,48736568,12161344,2880107,28302361,1038771,5528080,535688917,92432754,1640507,3645744,6435637,15756051,2230601,756477442
Toms River,Ocean,NJTPA,2019,47502001,11853280,2807148,27585420,1012458,5388047,522119160,90091299,1598951,3553390,6272613,15356929,2174100,737314796
Camden ,Camden,DVRPC,2019,9822222,4117032,2775326,20985209,962236,4083853,172032401,211779378,1582004,3048202,6724083,10414887,1253522,449580355
Hamilton,Atlantic,SJTPO,2015,10124167,5962637,2663466,23179524,542018,3473885,186831243,201210964,1405199,2329548,4078328,10962561,1202945,453966485
Egg Harbor,Atlantic,SJTPO,2015,9867969,5811749,2596066,22592952,528302,3385976,182103368,196119202,1369639,2270598,3975124,10685147,1172503,442478596
Washington,Gloucester,DVRPC,2019,9077840,3805020,2564997,19394835,889313,3774356,158994846,195729580,1462111,2817193,6214496,9625590,1158524,415508700
Lawrence,Mercer,DVRPC,2019,8989788,3768113,2540117,19206710,880686,3737746,157452636,193831052,1447929,2789866,6154217,9532224,1147286,411478370
West Windsor,Mercer,DVRPC,2019,8953337,3752834,2529817,19128833,877116,3722591,156814215,193045128,1442058,2778554,6129263,9493574,1142634,409809955
Elizabeth ,Union,NJTPA,2017,40553217,10075022,2448602,28392464,188717,8213064,652550241,85908912,1780250,2608111,7389880,17931471,1893300,859933251
Piscataway,Middlesex,NJTPA,2019,39936217,9965372,2360045,23191811,851200,4529877,438959707,75742193,1344282,2987432,5273553,12910988,1827821,619880498
Bayonne ,Hudson,NJTPA,2017,5930318,1473323,2332587,9748366,9758,3346640,240509652,29496278,360271,1415102,1078367,2617855,1806645,300125162
Paramus ,Bergen,NJTPA,2019,39426228,9838113,2329909,22895648,840331,4472031,433354149,74774958,1327116,2949283,5206211,12746114,1804481,611964572
Kearny,Hudson,NJTPA,2017,11127102,2764417,2329729,9726776,11244,3517393,255134006,29430928,414949,1415308,1242009,3015108,1804528,321933497
Lakewood,Ocean,NJTPA,2019,38559795,9621912,2278704,22392490,821864,4373752,423830733,73131698,1297951,2884467,5091798,12466002,1764826,598515992
Clifton ,Passaic,NJTPA,2019,36985507,9229074,2185672,21478266,788309,4195185,406526906,70145936,1244958,2766704,4883914,11957051,1692772,574080254
Evesham,Burlington,DVRPC,2019,7650416,3206709,2161669,16345138,749475,3180866,133994060,164952523,1232205,2374209,5237311,8112036,976354,350172970
Franklin,Somerset,NJTPA,2019,36354776,9071689,2148398,21111993,774862,4123643,399594245,68949708,1223731,2719523,4800626,11753144,1663907,564290245
Wayne,Passaic,NJTPA,2019,35718726,8912974,2110812,20742625,761306,4051496,392603078,67743388,1202317,2671942,4716636,11547513,1634795,554417608
