zip,City,State,County Name
8933,NEW BRUNSWICK,NJ,MIDDLESEX
8906,NEW BRUNSWICK,NJ,MIDDLESEX
8904,HIGHLAND PARK,NJ,MIDDLESEX
8903,NEW BRUNSWICK,NJ,MIDDLESEX
8902,NORTH BRUNSWICK,NJ,MIDDLESEX
8901,NEW BRUNSWICK,NJ,MIDDLESEX
8899,EDISON,NJ,MIDDLESEX
8890,ZAREPHATH,NJ,SOMERSET
8889,WHITEHOUSE STATION,NJ,HUNTERDON
8888,WHITEHOUSE,NJ,HUNTERDON
8887,THREE BRIDGES,NJ,HUNTERDON
8886,STEWARTSVILLE,NJ,WARREN
8885,STANTON,NJ,HUNTERDON
8884,SPOTSWOOD,NJ,MIDDLESEX
8882,SOUTH RIVER,NJ,MIDDLESEX
8880,SOUTH BOUND BROOK,NJ,SOMERSET
8879,SOUTH AMBOY,NJ,MIDDLESEX
8876,SOMERVILLE,NJ,SOMERSET
8875,SOMERSET,NJ,SOMERSET
8873,SOMERSET,NJ,SOMERSET
8872,SAYREVILLE,NJ,MIDDLESEX
8871,SAYREVILLE,NJ,MIDDLESEX
8870,READINGTON,NJ,HUNTERDON
8869,RARITAN,NJ,SOMERSET
8868,QUAKERTOWN,NJ,HUNTERDON
8867,PITTSTOWN,NJ,HUNTERDON
8865,PHILLIPSBURG,NJ,WARREN
8863,FORDS,NJ,MIDDLESEX
8862,PERTH AMBOY,NJ,MIDDLESEX
8861,PERTH AMBOY,NJ,MIDDLESEX
8859,PARLIN,NJ,MIDDLESEX
8858,OLDWICK,NJ,HUNTERDON
8857,OLD BRIDGE,NJ,MIDDLESEX
8855,PISCATAWAY,NJ,MIDDLESEX
8854,PISCATAWAY,NJ,MIDDLESEX
8853,NESHANIC STATION,NJ,SOMERSET
8852,MONMOUTH JUNCTION,NJ,MIDDLESEX
8850,MILLTOWN,NJ,MIDDLESEX
8848,MILFORD,NJ,HUNTERDON
8846,MIDDLESEX,NJ,MIDDLESEX
8844,HILLSBOROUGH,NJ,SOMERSET
8840,METUCHEN,NJ,MIDDLESEX
8837,EDISON,NJ,MIDDLESEX
8836,MARTINSVILLE,NJ,SOMERSET
8835,MANVILLE,NJ,SOMERSET
8833,LEBANON,NJ,HUNTERDON
8832,KEASBEY,NJ,MIDDLESEX
8831,MONROE TOWNSHIP,NJ,MIDDLESEX
8830,ISELIN,NJ,MIDDLESEX
8829,HIGH BRIDGE,NJ,HUNTERDON
8828,HELMETTA,NJ,MIDDLESEX
8827,HAMPTON,NJ,HUNTERDON
8826,GLEN GARDNER,NJ,HUNTERDON
8825,FRENCHTOWN,NJ,HUNTERDON
8824,KENDALL PARK,NJ,MIDDLESEX
8823,FRANKLIN PARK,NJ,SOMERSET
8822,FLEMINGTON,NJ,HUNTERDON
8821,FLAGTOWN,NJ,SOMERSET
8820,EDISON,NJ,MIDDLESEX
8818,EDISON,NJ,MIDDLESEX
8817,EDISON,NJ,MIDDLESEX
8816,EAST BRUNSWICK,NJ,MIDDLESEX
8812,DUNELLEN,NJ,MIDDLESEX
8810,DAYTON,NJ,MIDDLESEX
8809,CLINTON,NJ,HUNTERDON
8808,BROADWAY,NJ,WARREN
8807,BRIDGEWATER,NJ,SOMERSET
8805,BOUND BROOK,NJ,SOMERSET
8804,BLOOMSBURY,NJ,HUNTERDON
8803,BAPTISTOWN,NJ,HUNTERDON
8802,ASBURY,NJ,HUNTERDON
8801,ANNANDALE,NJ,HUNTERDON
8759,MANCHESTER TOWNSHIP,NJ,OCEAN
8758,WARETOWN,NJ,OCEAN
8757,TOMS RIVER,NJ,OCEAN
8756,TOMS RIVER,NJ,OCEAN
8755,TOMS RIVER,NJ,OCEAN
8754,TOMS RIVER,NJ,OCEAN
8753,TOMS RIVER,NJ,OCEAN
8752,SEASIDE PARK,NJ,OCEAN
8751,SEASIDE HEIGHTS,NJ,OCEAN
8750,SEA GIRT,NJ,MONMOUTH
8742,POINT PLEASANT BEACH,NJ,OCEAN
8741,PINE BEACH,NJ,OCEAN
8740,OCEAN GATE,NJ,OCEAN
8739,NORMANDY BEACH,NJ,OCEAN
8738,MANTOLOKING,NJ,OCEAN
8736,MANASQUAN,NJ,MONMOUTH
8735,LAVALLETTE,NJ,OCEAN
8734,LANOKA HARBOR,NJ,OCEAN
8733,LAKEHURST,NJ,OCEAN
8732,ISLAND HEIGHTS,NJ,OCEAN
8731,FORKED RIVER,NJ,OCEAN
8730,BRIELLE,NJ,MONMOUTH
