zip,Zipcode name,City,State,County Name
8933,"NEW BRUNSWICK, NJ",NEW BRUNSWICK,NJ,MIDDLESEX
8906,"NEW BRUNSWICK, NJ",NEW BRUNSWICK,NJ,MIDDLESEX
8904,"HIGHLAND PARK, NJ",HIGHLAND PARK,NJ,MIDDLESEX
8903,"NEW BRUNSWICK, NJ",NEW BRUNSWICK,NJ,MIDDLESEX
8902,"NORTH BRUNSWICK, NJ",NORTH BRUNSWICK,NJ,MIDDLESEX
8901,"NEW BRUNSWICK, NJ",NEW BRUNSWICK,NJ,MIDDLESEX
8899,"EDISON, NJ",EDISON,NJ,MIDDLESEX
8890,"ZAREPHATH, NJ",ZAREPHATH,NJ,SOMERSET
8889,"WHITEHOUSE STATION, NJ",WHITEHOUSE STATION,NJ,HUNTERDON
8888,"WHITEHOUSE, NJ",WHITEHOUSE,NJ,HUNTERDON
8887,"THREE BRIDGES, NJ",THREE BRIDGES,NJ,HUNTERDON
8886,"STEWARTSVILLE, NJ",STEWARTSVILLE,NJ,WARREN
8885,"STANTON, NJ",STANTON,NJ,HUNTERDON
8884,"SPOTSWOOD, NJ",SPOTSWOOD,NJ,MIDDLESEX
8882,"SOUTH RIVER, NJ",SOUTH RIVER,NJ,MIDDLESEX
8880,"SOUTH BOUND BROOK, NJ",SOUTH BOUND BROOK,NJ,SOMERSET
8879,"SOUTH AMBOY, NJ",SOUTH AMBOY,NJ,MIDDLESEX
8876,"SOMERVILLE, NJ",SOMERVILLE,NJ,SOMERSET
8875,"SOMERSET, NJ",SOMERSET,NJ,SOMERSET
8873,"SOMERSET, NJ",SOMERSET,NJ,SOMERSET
8872,"SAYREVILLE, NJ",SAYREVILLE,NJ,MIDDLESEX
8871,"SAYREVILLE, NJ",SAYREVILLE,NJ,MIDDLESEX
8870,"READINGTON, NJ",READINGTON,NJ,HUNTERDON
8869,"RARITAN, NJ",RARITAN,NJ,SOMERSET
8868,"QUAKERTOWN, NJ",QUAKERTOWN,NJ,HUNTERDON
8867,"PITTSTOWN, NJ",PITTSTOWN,NJ,HUNTERDON
8865,"PHILLIPSBURG, NJ",PHILLIPSBURG,NJ,WARREN
8863,"FORDS, NJ",FORDS,NJ,MIDDLESEX
8862,"PERTH AMBOY, NJ",PERTH AMBOY,NJ,MIDDLESEX
8861,"PERTH AMBOY, NJ",PERTH AMBOY,NJ,MIDDLESEX
8859,"PARLIN, NJ",PARLIN,NJ,MIDDLESEX
8858,"OLDWICK, NJ",OLDWICK,NJ,HUNTERDON
8857,"OLD BRIDGE, NJ",OLD BRIDGE,NJ,MIDDLESEX
8855,"PISCATAWAY, NJ",PISCATAWAY,NJ,MIDDLESEX
8854,"PISCATAWAY, NJ",PISCATAWAY,NJ,MIDDLESEX
